id,kandidat,valg,parti,rangering,rangering_original,valgt,personstemmer,slengere,partistemmer,partiprosent,parti_original,count,election,total_hits,decay,hits_after_list_public,cum_hits,hits_before_list_public
kandidat001102,Karoline Bjerkeset,2007,sp,2,2,Ikke valgt,161,71,2189,0.81,Senterpartiet,232,2007-09-10,137,4.59589859192869,11,137,126
kandidat001103,Karoline Grosås Nordbø,2015,krf,27,37,Ikke valgt,102,3,7827,2.44,Kristelig Folkeparti,105,2015-09-14,8,2.54733714644443e-08,0,16,16
kandidat001104,Karoline Marøy,2015,sp,8,9,Ikke valgt,48,22,1926,0.6,Senterpartiet,70,2015-09-14,5,0.277865171795026,1,35,34
kandidat001105,Katarina Storalm,2015,fi,10,11,Ikke valgt,46,15,1388,0.43,Feministisk Initiativ,61,2015-09-14,125,5.00604582323972,17,132,115
kandidat001106,Kate Hege Nielsen,2011,h,38,42,Vara,516,22,110776,35.7,Høyre,538,2011-09-12,9,2.35488023177507,3,25,22
kandidat001107,Kate Hege Nielsen,2015,h,47,51,Ikke valgt,423,18,101882,31.8,Høyre,441,2015-09-14,22,0.150054516731362,1,47,46
kandidat001108,Kathrine Nyhus,2007,osby,5,3,Ikke valgt,84,66,1466,0.54,Oslo Byaksjon,150,2007-09-10,76,8.63375177422449,17,82,65
kandidat001109,Katinka Greve Leiner,2011,ap,27,13,Vara,1038,46,102707,33.1,Det norske Arbeiderparti,1084,2011-09-12,272,1.38072326514175,3,330,327
kandidat001110,Katrine Francesca Amriati,2007,mdg,22,22,Ikke valgt,24,2,1687,0.62,Miljøpartiet De Grønne,26,NA,0,0,0,0,0
kandidat001111,Katrine Kveset Ekeland,2007,nkp,15,8,Ikke valgt,6,2,203000,0.07,Norges Kommunistiske Parti,8,NA,0,0,0,0,0
kandidat001112,Katrine Kveset Ekeland,2011,nkp,3,4,Ikke valgt,19,4,210000,0.07,Norges Kommunistiske Parti,23,NA,0,0,0,0,0
kandidat001113,Katrine Ore,2015,ap,45,30,Ikke valgt,856,18,102431,31.97,Arbeiderpartiet,874,2015-09-14,40,2.90263607256152,5,46,41
kandidat001114,Katrine Selsø,2011,mdg,33,20,Ikke valgt,42,3,7653,2.47,Miljøpartiet De Grønne,45,2011-09-12,1,0.000401621682803358,0,1,1
kandidat001115,Kaveh Ataei,2011,sv,7,8,Vara,594,115,19477,6.28,Sosialistisk Venstreparti,709,2011-09-12,18,1.14975166573833,2,55,53
kandidat001116,Kay Asbjørn Schjørlien,2011,sv,27,18,Ikke valgt,189,22,19477,6.28,Sosialistisk Venstreparti,211,2011-09-12,4,0.000554191680510184,0,9,9
kandidat001117,Ken-Gjøran Johansen,2007,dlf,13,11,Ikke valgt,2,0,127000,0.05,Det Liberale Folkepartiet,2,NA,0,0,0,0,0
kandidat001118,Ken-Gjøran Johansen,2011,dlf,7,5,Ikke valgt,7,0,247000,0.08,Det Liberale Folkepartiet,7,NA,0,0,0,0,0
kandidat001119,Kenneth Berg,2011,sv,36,34,Ikke valgt,137,15,19477,6.28,Sosialistisk Venstreparti,152,2011-09-12,337,12.3026364594927,22,442,420
kandidat001120,Kenneth Christensen,2007,dem,35,49,Ikke valgt,1,1,306000,0.11,Demokratene,2,2007-09-10,55,0.0821315676451276,0,59,59
kandidat001121,Kenneth Eriksen,2015,h,24,63,Vara,727,141,101882,31.8,Høyre,868,2015-09-14,326,12.0417863508552,23,798,775
kandidat001122,Kenneth Rockers,2015,pirat,9,14,Ikke valgt,30,8,805,0.25,Piratpartiet,38,2015-09-14,4,6.53173011232858e-05,0,5,5
kandidat001123,Kent Andersen,2011,frp,20,22,Ikke valgt,137,15,21852,7.04,Fremskrittspartiet,152,2011-09-12,494,65.6312444569408,140,632,492
kandidat001124,Kent Andersen,2015,frp,16,12,Ikke valgt,209,12,19311,6.03,Fremskrittspartiet,221,2015-09-14,474,6.02021223794643,15,1106,1091
